线路名称,优选地址,网络带宽,峰值速度,往返延迟,数据中心,更新时间
移动,104.19.168.117,1 MB,143 kB/s,205 毫秒,SEA,2026-02-08 16:05:10
移动,104.18.177.196,5 MB,647 kB/s,201 毫秒,SEA,2026-02-08 16:04:15
移动,104.17.78.110,5 MB,647 kB/s,233 毫秒,SJC,2026-02-08 16:14:56
移动,104.16.52.97,5 MB,648 kB/s,204 毫秒,SEA,2026-02-08 16:01:58
移动,104.19.164.136,5 MB,647 kB/s,203 毫秒,SEA,2026-02-08 16:14:56
联通,66.225.252.206,1 MB,123 kB/s,192 毫秒,LAX,2026-02-08 16:05:10
联通,104.17.94.194,5 MB,647 kB/s,131 毫秒,SJC,2026-02-08 16:10:57
联通,104.16.158.139,3 MB,397 kB/s,158 毫秒,SJC,2026-02-08 16:02:54
联通,104.16.139.203,5 MB,648 kB/s,133 毫秒,SJC,2026-02-08 16:14:56
联通,104.17.151.227,5 MB,647 kB/s,132 毫秒,SJC,2026-02-08 16:12:56
电信,172.64.35.42,5 MB,647 kB/s,97 毫秒,SIN,2026-02-08 16:13:34
电信,108.162.196.106,5 MB,647 kB/s,97 毫秒,SIN,2026-02-08 16:02:38
电信,162.159.12.168,5 MB,647 kB/s,100 毫秒,SIN,2026-02-08 16:13:34
电信,162.159.12.169,5 MB,647 kB/s,96 毫秒,SIN,2026-02-08 16:02:38
电信,162.159.44.56,5 MB,647 kB/s,78 毫秒,NRT,2026-02-08 16:15:55
